name,address,cuisine,opening_hours,latitude,longitude
Delhicious,Rue des Bourdonnais 75001,indian,Mo-Sa 11:00-22:00,48.8601397,2.3451638
Au Chien qui Fume,Rue du Pont Neuf 75001,french,Su-Fr 08:00-00:00; Sa 08:00-01:00,48.8613541,2.3448441
Loup,Rue du Louvre 75001,french,08:00-02:00,48.8639344,2.342597
Nelson's,Rue Coquillière 75001,french,Mo-Su 08:00-00:00,48.8636804,2.343122
Le Petit Bouillon Pharamond,Rue de la Grande Truanderie 75001,french,Mo-Su 12:00-24:00,48.8629978,2.3484965
Sanukiya,Rue d'Argenteuil,japanese;udon,Mo-Su 11:30-22:30,48.8646927,2.3338041
Liza,Rue de la Banque,mediterranean,Mo-Fr 00:00-24:00; Sa 19:00-22:30; Su 12:00-16:00,48.8675928,2.3409167
Kuccini,Rue Saint-Denis 75002,italian,"Mo-Sa 12:00-12:45, 14:30-23:55",48.8652615,2.3503094
Mamie,Boulevard de Bonne Nouvelle 75002,burger,Mo-Su 08:00-02:00,48.8703951,2.3484738
Buffalo Grill,Place Blanche 75009,steak_house,"Mo-Fr 11:30-15:00, Mo-Th 18:00-23:00; Sa,Su 11:30-23:00",48.8834373,2.3324889
Le Trésor,Rue du Trésor,french,Mo-Fr 12:00-01:00; Sa-Su 12:00-02:00,48.8570283,2.3577126
Suave,Rue de la Providence 75013,vietnamese,"Mo-Sa 12:00-14:30,19:00-22:30",48.8260343,2.3476244
Auberge de Venise,Rue de la Bastille 75004,italian,Mo-Su 11:30-23:30,48.8537619,2.3675235
Vins des Pyrénées,Rue Beautreillis,french,"Tu, Sa 11:30-15:00, 19:00-22:30",48.8536926,2.3643754
NordMarais,Rue Notre-Dame-de-Nazareth,french,Mo-Fr 09:00-02:00; Sa 17:00-02:00,48.867444,2.3577911
Panda Belleville,Rue Louis Bonnet,vietnamese,Mo-Su 10:00-21:30,48.8714314,2.3768732
Shiso Burger,Quai Saint-Michel 75005,burger;japanese,Mo-Su 12:00-23:00,48.8533952,2.3453142
Robert et Louise,Rue Vieille du Temple,french,Tu-Sa 19:00-23:00;We-Sa 12:00-15:00;Su 12:00-23:00,48.8590844,2.3594957
The Brooklyn Pizzeria,Boulevard Beaumarchais 75003,italian;mediterranean;pizza,Mo-Su 09:00-00:00,48.8559327,2.3681748
Pause Bobun,Rue Buffon 75005,vietnamese,"Mo-Fr 11:30-21:00, Sa 12:00-15:00",48.8430308,2.363447
Pramil,Rue du Vertbois,french,"Tu-Sa 12:00-14:30,19:30-22:30",48.8668208,2.3587112
BREIZH Café - Odéon,Rue de l'Odéon 75006,french;regional,Mo-Th 12:00-22:30; Fr 12:00-23:00; Sa 11:00-23:00; Su 11:00-22:30,48.8516746,2.3388348
Le Choupinet,Boulevard Saint-Michel 75006,french,Mo-Su 08:00-21:00,48.8477108,2.3407718
Livio Più,Rue du Cherche-Midi 75006,italian,"Mo-Sa 11:45-14:00,18:30-22:00; PH open",48.8469097,2.3213077
Le Greffulhe,Rue des Mathurins 75008,french,Mo-Fr 07:00-02:00; Sa-Su 11:00-02:00,48.8731505,2.3255205
Triadou Haussmann,Boulevard Haussmann 75008,brasserie,Mo-Su 07:00-01:00,48.8741599,2.3254911
Tabla Pizza,Rue de Clichy 75009,pizza;burger;italian_pizza,Su-Th 12:00-24:00; Fr 12:00-00:30; Sa 12:00-01:00,48.8832767,2.3277563
Le Publisher,Rue de Constantinople 75008,irish,"Mo-Sa 11:00-14:00,18:00-24:00",48.8805205,2.3183206
Stradina Trattoria,Rue de Lisbonne,italian,Mo-Fr 11:30-14:30; Mo-Th 19:00-22:00,48.8778079,2.31465
Le Relais de l'Entrecôte,Rue Marbeuf 75008,french;steak_house,"Mo-Fr 12:00-14:30,18:45-23:00; Sa,Su 12:00-15:00,18:45-23:00",48.8681586,2.30278
Le Chansonnier,Rue Eugène Varlin 75010,french,"PH,Mo-Su 08:00-02:00",48.8787523,2.3641791
Le Phénicien,Rue Alexandre Parodi 75010,lebanese,Su-Th 11:00-22:00; Fr-Sa 11:00-22:55,48.8800819,2.3647141
El Tequila Mexicana,Rue Eugène Carrière 75018,mexican,"Sa-Su 11:30-23:30; Tu-Fr 11:30-14:30, 18:00-23:30; Mo 18:00-23:30",48.8886685,2.3319948
Kastoori,Place Gustave Toudouze 75009,indian,"Mo-Su 12:00-14:30,19:00-23:30",48.8796046,2.3374293
Pomme de Pain,Rue Marie-Andrée Lagroua Weill-Hallé 75013,sandwich,Mo-Fr 08:00-18:00; Sa 08:00-14:00,48.8282504,2.3802903
Fø Pizza,Rue Françoise Dolto 75013,pizza,"Mo-We 11:00-22:30; Th,Fr 11:00-23:00; Sa 18:30-23:00; Su 18:30-22:30",48.8283892,2.3805802
L'Avenue,Avenue de France 75013,pizza,Mo-Fr 07:00-02:00; Sa-Su 09:00-02:00,48.8314453,2.3762846
Restaurant Édessa,Rue Jacques Hillairet 75012,turkish,Mo-Sa 11:00-14:00,48.8434476,2.3895663
Zaitoun (Léa Beyrouth),Rue du Faubourg Saint-Martin 75010,lebanese,Mo-Fr 12:00-14:00; Mo-Su 18:00-23:00,48.8827985,2.3675049
L'Alouette,Rue du Champ de l'Alouette 75013,french,Mo-Su 08:00-23:45,48.8319714,2.344555
La Sardine,Place Sainte-Marthe 75010,tapas;french,Mo-Su 09:00-02:00,48.8740661,2.3727507
Bouchon de la Gare,Rue Émile Gilbert 75012,french,Mo-Fr 12:00-15:00; 19:00-21:00,48.8463681,2.3733407
Uzu,Rue Falguière,japanese,"Mo-Su 12:00-14:30,18:30-23:00",48.8408995,2.3133856
Oishii,Rue Louis Blanc 75010,japanese,"Mo-Sa 12:00-22:30, Su 18:45-22:30",48.8815607,2.3646012
Le 14 Juillet,Rue Didot 75014,french,Mo-Su 12:00-23:00,48.8283684,2.3161973
Yaai Thai,Rue Daguerre 75014,thai,"Mo-Su 12:30-14:30, 19:00-23:00",48.8341093,2.329426
Chez Addy & Ida,Rue Jaucourt 75012,french,Mo-Fr 07:00-24:00; Sa 09:00-24:00,48.8464569,2.394626
L'invitée,Rue Thénard 75005,french,"Tu-Sa 12:00-15:00, 19:00-23:00",48.8499899,2.3459219
